SEMESTRE,MAT_ALU,COD_DISC,NOTA,FALTAS,STATUS,
8,115,3,2,3,R,
1,116,1,1,1,R,
3,117,24,4,11,R,
5,118,10,7,19,R,
2,119,8,0,15,R,
8,120,15,5,9,R,
2,121,9,1,4,R,
1,122,2,6,1,R,
8,123,14,7,10,R,
8,124,7,0,5,R,
5,125,10,8,18,R,
5,126,20,5,11,R,
7,127,23,1,5,R,
5,128,12,10,6,R,
5,129,16,4,14,R,
2,130,8,0,19,R,
2,131,17,2,4,R,
3,132,7,2,13,R,
3,133,5,8,1,R,
8,134,7,6,20,R,
7,135,2,3,6,R,
7,136,19,7,20,R,
8,137,15,5,13,R,
4,138,18,1,18,R,
1,139,15,2,13,R,
5,140,22,9,6,R,
4,141,6,10,19,R,
1,142,8,5,0,R,
8,143,21,1,0,R,
6,144,2,5,1,R,
1,145,20,7,4,R,
5,146,13,8,3,R,
5,147,19,10,10,R,
7,148,18,3,14,R,
4,149,18,4,1,R,
8,150,2,7,15,R,
7,151,3,1,13,R,
4,152,24,1,5,R,
8,153,4,10,6,R,
7,154,18,6,16,R,
6,155,14,7,15,R,
4,156,6,8,11,R,
2,157,19,8,13,R,
8,158,13,10,19,R,
7,159,16,10,12,R,
3,160,22,3,11,R,
6,161,23,6,8,R,
5,162,4,4,4,R,
5,163,3,8,20,R,
2,164,6,0,15,R,
1,165,17,3,3,R,
8,166,2,10,20,R,
4,167,15,7,0,R,
6,168,19,8,1,R,
8,169,13,7,8,R,
3,170,8,9,0,R,
8,171,7,5,12,R,
3,172,13,2,18,R,
3,173,24,10,7,R,
3,174,13,0,19,R,
4,175,24,10,8,R,
2,176,16,8,20,R,
8,177,15,6,19,R,
3,178,1,10,14,R,
1,179,8,8,8,R,
4,180,9,9,10,R,
5,181,15,7,6,R,
5,182,17,2,2,R,
4,183,9,5,6,R,
5,184,17,7,18,R,
3,185,8,1,6,R,
8,186,1,8,9,R,
4,187,8,0,14,R,
6,188,21,2,12,R,
2,189,20,2,13,R,
1,190,2,10,20,R,
7,191,9,2,9,R,
4,192,17,2,11,R,
5,193,10,7,15,R,
6,194,2,2,4,R,
1,195,9,0,0,R,
2,196,6,9,1,R,
3,197,6,10,9,R,
2,198,14,6,20,R,
2,199,5,3,16,R,
2,200,10,5,19,R,
1,201,1,8,14,R,
5,202,3,0,19,R,
4,203,11,9,5,R,
7,204,17,2,2,R,
5,205,9,6,5,R,
7,206,6,6,14,R,
8,207,12,1,5,R,
6,208,20,7,2,R,
4,209,13,3,10,R,
3,210,23,7,20,R,
4,211,22,3,5,R,
1,212,3,9,11,R,
5,213,12,2,3,R,
8,214,11,6,2,R,
5,215,2,5,15,R,
8,216,10,2,3,R,
1,217,2,9,4,R,
2,218,19,9,13,R,
7,219,8,1,17,R,
2,220,22,7,7,R,
5,221,16,4,15,R,
8,222,9,0,8,R,
2,223,4,6,15,R,
1,224,6,5,11,R,
8,225,1,5,6,R,
1,226,6,1,11,R,
6,227,1,7,13,R,
2,228,7,1,0,R,
8,229,24,9,7,R,
6,230,13,8,1,R,
6,231,8,2,17,R,
7,232,8,3,19,R,
1,233,21,5,0,R,
1,234,17,2,7,R,
1,235,4,0,3,R,
7,236,3,5,20,R,
8,237,16,5,6,R,
3,238,23,6,19,R,
4,239,2,4,13,R,
3,240,12,9,16,R,
8,241,8,1,13,R,
2,242,14,8,8,R,
5,243,3,4,19,R,
6,244,14,1,3,R,
7,245,14,0,6,R,
7,246,5,10,0,R,
8,247,4,0,1,R,
7,248,15,10,3,R,
1,249,23,5,11,R,
3,250,24,2,13,R,
3,251,15,0,3,R,
7,252,24,8,11,R,
2,253,17,10,1,R,
6,254,1,1,0,R,
6,255,5,1,3,R,
2,256,7,8,9,R,
6,257,19,10,12,R,
2,258,24,2,14,R,
8,259,17,3,8,R,
8,260,1,10,20,R,
8,261,23,7,15,R,
8,262,22,5,2,R,
7,263,20,3,18,R,
2,264,15,10,16,R,
8,265,1,7,13,R,
4,266,18,0,9,R,
2,267,7,1,16,R,
4,268,7,5,18,R,
7,269,7,1,9,R,
2,270,9,3,18,R,
8,271,15,4,4,R,
5,272,24,10,6,R,
3,273,2,9,0,R,
7,274,16,2,19,R,
3,275,2,2,11,R,
4,276,1,5,15,R,
4,277,19,8,14,R,
3,278,7,2,17,R,
6,279,8,1,7,R,
1,280,1,6,3,R,
5,281,23,3,5,R,
7,282,2,6,14,R,
4,283,13,0,10,R,
5,284,24,2,7,R,
2,285,18,5,15,R,
1,286,12,0,13,R,
3,287,4,9,10,R,
1,288,12,2,3,R,
2,289,9,2,17,R,
5,290,9,9,3,R,
4,291,5,3,13,R,
8,292,10,2,11,R,
2,293,3,1,20,R,
2,294,21,0,19,R,
3,295,1,10,7,R,
4,296,7,1,10,R,
4,297,14,10,18,R,
5,298,23,7,15,R,
8,299,23,9,20,R,
7,300,5,3,6,R,
6,301,8,6,3,R,
8,302,6,6,19,R,
2,303,11,4,2,R,
8,304,19,7,0,R,
4,305,18,9,14,R,
6,306,6,2,0,R,
1,307,7,3,14,R,
5,308,16,1,20,R,
7,309,2,2,4,R,
2,310,11,8,12,R,
7,311,1,1,19,R,
5,312,9,0,5,R,
6,313,12,5,16,R,
5,314,17,4,7,R,
5,315,12,2,4,R,
2,316,11,6,19,R,
7,317,12,0,13,R,
5,318,2,3,3,R,
8,319,18,8,12,R,
6,320,18,4,7,R,
6,321,7,3,20,R,
2,322,13,10,15,R,
1,323,12,8,8,R,
2,324,16,6,2,R,
5,325,12,2,11,R,
7,326,20,1,7,R,
1,327,24,8,19,R,
3,328,19,9,19,R,
2,329,8,7,7,R,
4,330,14,2,17,R,
3,331,24,1,12,R,
7,332,15,7,17,R,
6,333,24,3,7,R,
1,334,10,10,8,R,
3,335,22,0,9,R,
8,336,3,9,14,R,
6,337,21,8,2,R,
4,338,18,7,20,R,
2,339,3,4,17,R,
3,340,11,0,11,R,
7,341,6,5,4,R,
7,342,14,8,11,R,
3,343,16,6,1,R,
8,344,12,9,20,R,
4,345,19,7,6,R,
8,346,2,2,8,R,
7,347,18,1,4,R,
2,348,21,9,18,R,
6,349,4,10,3,R,
7,350,15,4,4,R,
7,351,1,4,17,R,
6,352,7,4,8,R,
7,353,7,2,1,R,
6,354,7,10,20,R,
2,355,23,9,17,R,
2,356,20,10,7,R,
6,357,4,3,0,R,
8,358,10,9,12,R,
1,359,10,0,8,R,
6,360,1,7,11,R,
3,361,15,3,8,R,
4,362,18,6,11,R,
8,363,13,1,16,R,
5,364,24,0,5,R,
7,365,10,0,12,R,
8,366,18,4,14,R,
3,367,24,4,11,R,
5,368,23,9,12,R,
1,369,11,8,11,R,
2,370,12,2,0,R,
3,371,8,3,8,R,
3,372,18,2,3,R,
6,373,17,7,17,R,
4,374,23,6,10,R,
8,375,16,1,18,R,
4,376,13,2,6,R,
4,377,11,0,11,R,
5,378,15,8,14,R,
7,379,9,8,17,R,
8,380,22,10,6,R,
1,381,8,0,9,R,
8,382,16,1,19,R,
2,383,13,7,15,R,
1,384,22,3,13,R,
8,385,7,0,3,R,
7,386,5,1,10,R,
3,387,18,1,2,R,
8,388,16,5,12,R,
1,389,10,6,12,R,
1,390,14,6,18,R,
6,391,22,9,19,R,
1,392,4,3,3,R,
1,393,22,1,16,R,
4,394,3,10,13,R,
3,395,1,7,12,R,
7,396,8,9,0,R,
2,397,16,9,14,R,
3,398,19,4,7,R,
1,399,4,8,14,R,
5,400,9,7,16,R,
4,401,1,9,1,R,
7,402,12,5,9,R,
3,403,7,6,16,R,
7,404,10,1,13,R,
3,405,11,9,11,R,
1,406,8,0,17,R,
4,407,17,0,12,R,
4,408,23,7,18,R,
7,409,18,2,12,R,
4,410,16,9,6,R,
7,411,9,3,12,R,
2,412,16,1,16,R,
5,413,7,9,0,R,
5,414,6,4,13,R,
3,415,13,4,15,R,
2,416,17,1,10,R,
6,417,23,5,4,R,
8,418,17,0,13,R,
1,419,13,3,2,R,
5,420,9,6,8,R,
6,421,22,6,19,R,
6,422,21,1,11,R,
7,423,20,2,18,R,
5,424,24,10,16,R,
8,425,11,0,4,R,
5,426,8,8,15,R,
8,427,2,8,0,R,
5,428,11,0,14,R,
4,429,17,4,11,R,
8,430,9,2,13,R,
6,431,23,0,5,R,
4,432,24,1,5,R,
3,433,22,1,4,R,
7,434,18,9,11,R,
8,435,12,7,12,R,
1,436,8,6,17,R,
8,437,16,10,3,R,
5,438,5,1,12,R,
6,439,12,4,11,R,
4,440,16,8,4,R,
1,441,10,7,10,R,
2,442,5,3,2,R,
1,443,17,4,0,R,
1,444,11,2,9,R,
4,445,22,1,1,R,
3,446,3,4,0,R,
7,447,4,4,10,R,
2,448,10,0,3,R,
8,449,21,1,4,R,
3,450,14,10,3,R,
7,451,8,8,17,R,
5,452,18,9,12,R,
4,453,4,7,2,R,
3,454,5,6,2,R,
3,455,11,7,11,R,
7,456,1,5,6,R,
2,457,14,3,8,R,
8,458,18,8,13,R,
5,459,23,5,5,R,
2,460,8,3,10,R,
5,461,2,1,4,R,
5,462,23,4,3,R,
2,463,8,8,8,R,
8,464,3,2,10,R,
3,465,19,10,15,R,
7,466,18,8,6,R,
3,467,8,10,7,R,
8,468,1,0,15,R,
5,469,7,0,2,R,
7,470,18,6,4,R,
5,471,22,4,3,R,
3,472,6,2,12,R,
6,473,16,5,19,R,
8,474,21,10,1,R,
6,475,13,1,19,R,
1,476,6,5,19,R,
3,477,18,4,3,R,
5,478,5,8,9,R,
5,479,13,2,9,R,
3,480,23,3,4,R,
5,481,13,10,2,R,
1,482,3,8,17,R,
8,483,21,6,11,R,
6,484,24,4,1,R,
2,485,7,5,8,R,
4,486,11,1,1,R,
5,487,10,8,4,R,
6,488,1,2,15,R,
5,489,24,5,14,R,
7,490,21,5,2,R,
5,491,16,10,19,R,
2,492,7,0,16,R,
4,493,11,1,18,R,
6,494,15,3,7,R,
1,495,4,0,13,R,
1,496,11,5,16,R,
6,497,17,3,0,R,
7,498,14,0,8,R,
6,499,15,10,3,R,
7,500,21,2,13,R,
1,501,8,7,0,R,
8,502,1,2,15,R,
1,503,8,2,11,R,
6,504,12,5,1,R,
6,505,22,8,7,R,
4,506,1,7,13,R,
6,507,9,0,3,R,
1,508,16,0,5,R,
8,509,4,2,11,R,
2,510,1,2,2,R,
2,511,9,7,2,R,
8,512,6,10,8,R,
2,513,14,9,18,R,
6,514,8,10,12,R,
7,515,14,6,17,R,
5,516,8,10,6,R,
3,517,17,10,6,R,
8,518,9,3,12,R,
3,519,24,9,16,R,
7,520,8,0,9,R,
3,521,13,3,5,R,
4,522,17,2,19,R,
6,523,21,7,4,R,
2,524,20,10,13,R,
6,525,17,6,17,R,
8,526,12,7,11,R,
4,527,22,6,5,R,
2,528,19,6,9,R,
2,529,16,2,9,R,
1,530,10,2,16,R,
5,531,14,5,13,R,
3,532,15,6,12,R,
8,533,20,2,16,R,
7,534,19,0,2,R,
2,535,3,6,12,R,
6,536,24,2,18,R,
1,537,16,10,2,R,
3,538,22,2,13,R,
3,539,9,5,20,R,
6,540,19,0,15,R,
7,541,7,9,2,R,
7,542,5,6,13,R,
8,543,12,4,12,R,
7,544,15,0,6,R,
1,545,2,3,13,R,
2,546,5,8,18,R,
3,547,21,4,6,R,
2,548,20,9,9,R,
6,549,3,3,7,R,
3,550,10,0,10,R,
7,551,23,2,12,R,
7,552,12,1,19,R,
2,553,1,0,10,R,
3,554,9,9,6,R,
3,555,18,10,2,R,
6,556,13,10,5,R,
2,557,11,6,17,R,
6,558,17,9,3,R,
8,559,23,1,1,R,
1,560,9,0,10,R,
4,561,6,9,0,R,
6,562,13,1,16,R,
8,563,18,6,20,R,
8,564,10,10,3,R,
5,565,18,2,11,R,
2,566,3,3,6,R,
5,567,21,0,20,R,
4,568,19,10,12,R,
8,569,16,2,6,R,
5,570,14,10,6,R,
7,571,22,2,4,R,
6,572,6,4,15,R,
3,573,3,3,10,R,
5,574,3,1,7,R,
7,575,6,5,3,R,
1,576,7,7,19,R,
7,577,5,7,5,R,
1,578,21,5,20,R,
8,579,13,8,2,R,
2,580,24,7,20,R,
7,581,6,8,18,R,
5,582,6,3,10,R,
6,583,21,3,7,R,
7,584,21,2,6,R,
7,585,7,0,1,R,
2,586,4,2,13,R,
7,587,8,1,2,R,
7,588,2,3,3,R,
8,589,12,2,6,R,
3,590,23,4,5,R,
1,591,8,7,14,R,
3,592,6,6,7,R,
8,593,21,6,3,R,
3,594,16,6,14,R,
6,595,14,2,8,R,
1,596,19,8,4,R,
2,597,22,8,4,R,
3,598,3,4,4,R,
8,599,12,4,12,R,
1,600,13,8,16,R,
2,601,22,0,2,R,
3,602,7,1,5,R,
1,603,18,9,13,R,
5,604,3,4,1,R,
5,605,4,1,2,R,
3,606,22,6,5,R,
2,607,12,4,17,R,
8,608,17,3,0,R,
2,609,22,6,12,R,
4,610,11,2,20,R,
2,611,6,3,8,R,
2,612,2,10,19,R,
5,613,23,10,13,R,
6,614,1,9,12,R,
3,615,3,10,19,R,
5,616,13,0,13,R,
4,617,24,8,3,R,
1,618,14,10,6,R,
1,619,20,3,13,R,
3,620,24,4,9,R,
4,621,16,0,12,R,
5,622,14,0,15,R,
6,623,21,10,20,R,
4,624,18,10,19,R,
5,625,11,5,17,R,
5,626,4,7,7,R,
1,627,24,10,2,R,
3,628,19,0,7,R,
2,629,7,2,20,R,
3,630,14,2,14,R,
3,631,1,3,15,R,
8,632,17,5,1,R,
7,633,9,5,11,R,
6,634,24,6,3,R,
8,635,14,4,6,R,
8,636,11,5,15,R,
4,637,13,4,8,R,
3,638,23,7,4,R,
5,639,9,4,11,R,
4,640,12,9,7,R,
3,641,13,1,0,R,
3,642,4,1,9,R,
1,643,24,0,2,R,
6,644,9,5,8,R,
6,645,5,6,7,R,
2,646,18,2,17,R,
8,647,12,4,0,R,
2,648,19,6,15,R,
5,649,6,10,14,R,
3,650,3,5,7,R,
2,651,10,1,17,R,
3,652,14,7,1,R,
2,653,8,1,16,R,
8,654,18,6,15,R,
5,655,12,9,11,R,
6,656,19,1,4,R,
5,657,21,9,7,R,
5,658,14,5,14,R,
5,659,24,2,11,R,
2,660,3,4,5,R,
3,661,4,5,6,R,
2,662,14,2,0,R,
2,663,7,9,8,R,
4,664,10,6,16,R,
1,665,4,0,18,R,
3,666,9,10,11,R,
4,667,16,2,9,R,
8,668,11,1,11,R,
5,669,20,0,13,R,
3,670,8,9,12,R,
5,671,9,3,18,R,
1,672,9,3,16,R,
3,673,23,8,2,R,
2,674,7,0,14,R,
2,675,15,1,0,R,
3,676,3,0,11,R,
8,677,7,1,1,R,
4,678,14,0,11,R,
3,679,1,1,17,R,
6,680,7,3,10,R,
7,681,14,3,10,R,
6,682,6,6,14,R,
6,683,24,3,9,R,
5,684,18,8,15,R,
2,685,2,6,13,R,
3,686,24,6,3,R,
1,687,12,9,1,R,
5,688,21,0,4,R,
7,689,13,1,18,R,
3,690,24,9,3,R,
7,691,15,10,16,R,
8,692,8,5,0,R,
2,693,5,5,2,R,
6,694,3,2,12,R,
8,695,15,6,16,R,
8,696,4,3,0,R,
1,697,19,7,6,R,
8,698,13,2,11,R,
3,699,17,10,11,R,
8,700,19,10,9,R,
7,701,13,5,19,R,
6,702,22,6,12,R,
2,703,22,9,3,R,
4,704,10,3,8,R,
7,705,22,1,7,R,
5,706,5,10,7,R,
4,707,11,7,7,R,
3,708,12,6,18,R,
7,709,22,4,12,R,
5,710,19,6,3,R,
3,711,21,2,19,R,
8,712,3,2,8,R,
2,713,6,0,1,R,
5,714,14,2,2,R,
1,715,4,8,6,R,
1,716,20,9,8,R,
6,717,18,6,4,R,
2,718,19,1,6,R,
8,719,12,5,8,R,
1,720,15,1,4,R,
1,721,23,7,6,R,
4,722,1,10,1,R,
4,723,19,4,12,R,
5,724,5,10,0,R,
4,725,23,6,18,R,
7,726,1,10,15,R,
1,727,23,3,19,R,
1,728,18,5,1,R,
1,729,18,9,6,R,
5,730,11,8,8,R,
3,731,2,2,2,R,
6,732,15,8,12,R,
5,733,5,5,16,R,
8,734,21,1,13,R,
1,735,22,3,19,R,
5,736,8,3,18,R,
3,737,1,10,4,R,
1,738,20,0,7,R,
5,739,4,6,5,R,
4,740,10,2,2,R,
6,741,20,10,6,R,
4,742,6,1,15,R,
2,743,15,8,1,R,
5,744,11,9,12,R,
1,745,19,10,19,R,
6,746,18,9,13,R,
5,747,2,6,19,R,
6,748,18,8,1,R,
6,749,12,10,7,R,
4,750,22,5,5,R,
8,751,18,6,16,R,
3,752,22,0,0,R,
5,753,19,9,20,R,
7,754,13,4,16,R,
8,755,20,8,4,R,
5,756,16,0,16,R,
2,757,19,7,17,R,
6,758,12,10,20,R,
4,759,19,0,2,R,
8,760,9,7,4,R,
5,761,9,4,16,R,
7,762,21,4,11,R,
6,763,7,10,12,R,
4,764,1,8,14,R,
2,765,10,7,0,R,
6,766,17,7,4,R,
7,767,9,5,15,R,
2,768,19,4,20,R,
7,769,3,5,5,R,
5,770,3,3,4,R,
8,771,17,3,10,R,
5,772,17,6,0,R,
6,773,20,9,9,R,
3,774,7,5,15,R,
8,775,2,7,10,R,
6,776,5,10,10,R,
5,777,7,4,10,R,
5,778,20,6,11,R,
1,779,19,2,2,R,
8,780,19,10,7,R,
1,781,17,2,19,R,
1,782,19,9,19,R,
2,783,17,0,15,R,
8,784,22,7,11,R,
8,785,9,1,11,R,
4,786,16,10,17,R,
1,787,22,2,10,R,
6,788,13,5,5,R,
2,789,6,10,15,R,
2,790,9,2,2,R,
4,791,20,5,7,R,
6,792,1,1,20,R,
7,793,20,1,5,R,
1,794,20,10,11,R,
1,795,19,5,2,R,
1,796,23,0,0,R,
3,797,15,10,14,R,
5,798,15,0,12,R,
3,799,15,7,16,R,
5,800,24,4,0,R,
2,801,6,0,6,R,
5,802,11,0,17,R,
2,803,16,2,14,R,
7,804,21,5,8,R,
2,805,23,5,12,R,
3,806,5,2,10,R,
7,807,24,2,6,R,
1,808,21,4,9,R,
8,809,1,6,8,R,
8,810,2,5,8,R,
5,811,12,9,20,R,
3,812,7,3,2,R,
4,813,10,3,5,R,
4,814,13,1,6,R,
6,815,6,5,16,R,
5,816,21,6,15,R,
7,817,4,2,13,R,
5,818,3,3,12,R,
5,819,8,2,9,R,
6,820,6,8,11,R,
2,821,13,6,5,R,
7,822,14,0,17,R,
2,823,7,1,18,R,
3,824,2,2,4,R,
1,825,7,6,16,R,
7,826,2,5,15,R,
7,827,13,2,18,R,
7,828,17,8,18,R,
4,829,4,2,9,R,
4,830,10,5,6,R,
1,831,13,5,17,R,
6,832,19,4,12,R,
6,833,4,3,15,R,
6,834,15,3,7,R,
4,835,21,6,17,R,
5,836,18,4,6,R,
8,837,10,0,1,R,
5,838,22,9,9,R,
8,839,13,7,7,R,
5,840,15,4,18,R,
1,841,23,9,7,R,
4,842,24,1,14,R,
1,843,2,6,6,R,
3,844,1,0,4,R,
2,845,17,1,16,R,
5,846,7,7,6,R,
1,847,24,4,12,R,
7,848,6,2,5,R,
3,849,24,0,15,R,
6,850,22,2,20,R,
6,851,16,4,16,R,
8,852,12,9,13,R,
1,853,15,8,1,R,
6,854,7,10,17,R,
1,855,5,9,3,R,
5,856,18,9,15,R,
4,857,3,6,4,R,
1,858,11,4,10,R,
1,859,14,1,19,R,
3,860,21,3,20,R,
3,861,10,2,2,R,
5,862,20,1,11,R,
2,863,6,4,12,R,
8,864,10,0,8,R,
1,865,11,9,17,R,
6,866,2,4,11,R,
2,867,4,7,19,R,
4,868,4,5,0,R,
7,869,20,1,0,R,
3,870,21,2,3,R,
7,871,3,8,13,R,
3,872,24,3,13,R,
1,873,12,9,8,R,
8,874,17,6,18,R,
4,875,15,0,13,R,
1,876,16,10,14,R,
6,877,10,1,19,R,
7,878,23,1,8,R,
5,879,14,5,14,R,
6,880,12,4,18,R,
7,881,1,8,17,R,
5,882,23,10,13,R,
1,883,20,5,1,R,
8,884,2,3,3,R,
7,885,22,10,6,R,
3,886,17,2,8,R,
4,887,6,6,0,R,
3,888,21,2,15,R,
3,889,7,0,12,R,
2,890,4,5,10,R,
5,891,4,8,10,R,
3,892,9,3,7,R,
4,893,14,3,17,R,
7,894,3,9,16,R,
5,895,23,9,1,R,
1,896,8,1,4,R,
3,897,24,5,18,R,
2,898,15,10,1,R,
1,899,12,6,14,R,
5,900,10,8,14,R,
4,901,17,0,6,R,
2,902,2,10,1,R,
2,903,5,1,8,R,
6,904,1,9,4,R,
2,905,5,9,11,R,
1,906,8,4,11,R,
5,907,6,5,4,R,
8,908,7,6,12,R,
8,909,4,8,10,R,
8,910,18,1,13,R,
5,911,11,8,5,R,
7,912,12,1,10,R,
4,913,9,2,20,R,
5,914,13,6,16,R,
8,915,6,5,3,R,
5,916,4,8,13,R,
5,917,13,2,17,R,
2,918,1,2,13,R,
8,919,8,3,9,R,
8,920,17,1,16,R,
2,921,3,4,1,R,
3,922,16,8,12,R,
2,923,2,3,9,R,
5,924,23,4,5,R,
8,925,21,9,1,R,
8,926,1,9,2,R,
5,927,17,10,3,R,
6,928,3,3,4,R,
6,929,3,3,19,R,
2,930,1,6,13,R,
6,931,24,6,18,R,
8,932,9,4,18,R,
6,933,20,3,8,R,
6,934,11,3,16,R,
7,935,1,7,16,R,
6,936,21,9,10,R,
2,937,9,5,20,R,
2,938,8,5,15,R,
3,939,3,0,6,R,
3,940,5,9,8,R,
3,941,19,3,8,R,
4,942,9,8,11,R,
8,943,21,10,4,R,
8,944,10,2,17,R,
1,945,13,0,1,R,
5,946,24,1,18,R,
2,947,23,4,0,R,
1,948,20,1,15,R,
2,949,5,0,7,R,
5,950,17,9,5,R,
5,951,23,10,8,R,
5,952,12,9,15,R,
3,953,3,6,10,R,
6,954,6,3,7,R,
1,955,10,6,19,R,
7,956,22,2,5,R,
1,957,4,2,10,R,
5,958,19,0,14,R,
2,959,16,0,3,R,
2,960,21,7,3,R,
2,961,10,7,11,R,
5,962,8,5,10,R,
6,963,21,7,20,R,
5,964,5,7,20,R,
5,965,15,5,12,R,
1,966,16,6,9,R,
4,967,2,6,9,R,
4,968,24,0,3,R,
4,969,23,2,20,R,
7,970,4,7,19,R,
4,971,16,7,16,R,
1,972,21,7,1,R,
8,973,18,3,12,R,
4,974,24,6,2,R,
1,975,21,3,14,R,
2,976,3,1,2,R,
6,977,9,1,5,R,
5,978,1,2,0,R,
6,979,17,5,4,R,
5,980,9,8,11,R,
4,981,6,9,7,R,
6,982,16,6,7,R,
2,983,5,1,19,R,
6,984,2,0,3,R,
2,985,16,7,8,R,
4,986,9,2,0,R,
8,987,20,8,7,R,
6,988,17,9,18,R,
7,989,15,2,8,R,
2,990,15,3,16,R,
7,991,4,4,1,R,
2,992,21,9,14,R,
6,993,5,10,18,R,
4,994,1,10,7,R,
7,995,21,6,1,R,
6,996,12,5,9,R,
8,997,2,4,4,R,
1,998,15,10,13,R,
8,999,22,2,2,R,
7,1000,24,6,9,R,
3,1001,10,3,4,R,
4,1002,10,9,0,R,
3,1003,8,10,14,R,
6,1004,10,10,13,R,
3,1005,5,7,11,R,
4,1006,8,4,8,R,
3,1007,24,4,15,R,
7,1008,23,9,16,R,
1,1009,19,7,11,R,
2,1010,21,6,1,R,
4,1011,19,4,20,R,
3,1012,23,1,10,R,
5,1013,4,2,4,R,
4,1014,15,1,4,R,
8,1015,11,6,20,R,
1,1016,1,7,9,R,
8,1017,23,5,5,R,
2,1018,10,9,3,R,
3,1019,3,6,16,R,
1,1020,13,8,12,R,
3,1021,16,8,12,R,
2,1022,4,4,15,R,
5,1023,7,8,8,R,
7,1024,16,4,19,R,
4,1025,15,10,20,R,
5,1026,1,3,15,R,
2,1027,3,4,13,R,
2,1028,12,2,6,R,
6,1029,13,0,13,R,
6,1030,16,3,13,R,
3,1031,18,6,0,R,
4,1032,12,2,16,R,
3,1033,16,6,17,R,
8,1034,12,3,19,R,
2,1035,10,4,8,R,
4,1036,21,10,20,R,
2,1037,3,1,9,R,
6,1038,3,5,13,R,
4,1039,23,4,7,R,
3,1040,2,2,18,R,
2,1041,13,9,13,R,
7,1042,21,0,2,R,
5,1043,7,7,16,R,
2,1044,4,7,2,R,
3,1045,24,3,14,R,
4,1046,20,5,16,R,
3,1047,13,10,8,R,
3,1048,19,2,3,R,
2,1049,15,0,4,R,
3,1050,10,4,15,R,
4,1051,12,5,8,R,
7,1052,21,7,0,R,
1,1053,20,0,1,R,
3,1054,18,7,20,R,
6,1055,7,2,10,R,
5,1056,4,1,19,R,
8,1057,20,0,14,R,
4,1058,23,8,18,R,
7,1059,14,2,18,R,
7,1060,14,8,13,R,
6,1061,17,8,7,R,
7,1062,8,4,14,R,
6,1063,6,1,7,R,
3,1064,15,3,10,R,
1,1065,24,3,3,R,
